job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
"STEM Specialist - Science, Engineering (Graduate Level)","Ebit Co., Ltd",Jakarta Raya,Kasual,Tidak tersedia,Tidak tersedia,"Rp 500,000 per hour","Company Overview EBIT is a global AI data company supporting the development of next-generation artificial intelligence systems. We collaborate with leading AI organizations to build high-quality STEM datasets used to train and evaluate advanced AI models. We are currently seeking graduate-level STEM experts for remote AI training and evaluation projects. Position Remote Graduate STEM AI Trainer (Freelance / Remote) Fields of Expertise We are looking for candidates with academic backgrounds in: Physics Chemistry Biology Mechanical Engineering Electrical Engineering Mathematics Related STEM disciplines Job Responsibilities Selected candidates will participate in AI training and evaluation tasks, including: Evaluating scientific and technical AI responses Reviewing STEM reasoning and accuracy Comparing AI-generated outputs Annotating and validating STEM-related data Supporting the development of advanced AI models Projects may involve scientific reasoning, technical analysis, problem-solving evaluation, and subject expertise validation. All work is completed remotely through our online platform. Requirements Required Bachelor’s, Master’s, or current graduate-level enrollment in a STEM-related field Strong analytical and critical thinking skills Professional English reading and writing ability Reliable internet connection and computer access High attention to detail Preferred Academic research or project experience Coding or programming experience Experience using AI tools or data annotation platforms Strong problem-solving abilities in STEM subjects Compensation USD $20/hour (approximately PhP 1,100–1,200/hour) Fully remote freelance work Flexible working schedule Additional project opportunities may be available based on performance and expertise. Why Join EBIT? Contribute to cutting-edge AI development Work remotely with flexible hours Participate in STEM-focused AI projects Collaborate with international AI initiatives Gain experience working on advanced AI systems","Selected candidates will participate in AI training and evaluation tasks, including: | Evaluating scientific and technical AI responses
Reviewing STEM reasoning and accuracy
Comparing AI-generated outputs
Annotating and validating STEM-related data
Supporting the development of advanced AI models | Projects may involve scientific reasoning, technical analysis, problem-solving evaluation, and subject expertise validation. | All work is completed remotely through our online platform.",9 jam yang lalu,JobStreet
Data Entry,PT Trans Antar Nusabird,Semarang,Full time,Tidak tersedia,Tidak tersedia,Tidak tersedia,"Job Description - Menginput dan memperbarui data ke dalam sistem/database perusahaan dengan akurat. - Memastikan ketepatan, kelengkapan, dan konsistensi data sebelum dan sesudah diinput. - Melakukan pengecekan (validasi) data yang masuk dari berbagai departemen. - Mengelola dan menyimpan dokumen fisik maupun digital secara rapi dan terorganisir. - Melakukan koreksi apabila ditemukan kesalahan pada data. - Menjaga kerahasiaan dan keamanan data perusahaan. - Berkoordinasi dengan tim terkait untuk memastikan alur data berjalan lancar. Minimum Qualifications - Pendidikan minimal SMA/SMK - Mampu melakukan data entry dengan cepat dan akurat - Mahir menggunakan Microsoft Excel, Microsoft Word, dan Google Sheets (Workspace) - Memiliki pemahaman dasar tentang administrasi perusahaan - Berdomisili di Semarang","- Menginput dan memperbarui data ke dalam sistem/database perusahaan dengan akurat. | - Memastikan ketepatan, kelengkapan, dan konsistensi data sebelum dan sesudah diinput. | - Melakukan pengecekan (validasi) data yang masuk dari berbagai departemen. | - Mengelola dan menyimpan dokumen fisik maupun digital secara rapi dan terorganisir. | - Melakukan koreksi apabila ditemukan kesalahan pada data. | - Menjaga kerahasiaan dan keamanan data perusahaan. | - Berkoordinasi dengan tim terkait untuk memastikan alur data berjalan lancar. | Minimum Qualifications | - Pendidikan minimal SMA/SMK | - Mampu melakukan data entry dengan cepat dan akurat | - Mahir menggunakan Microsoft Excel, Microsoft Word, dan Google Sheets (Workspace) | - Memiliki pemahaman dasar tentang administrasi perusahaan | - Berdomisili di Semarang",13 jam yang lalu,JobStreet
IT & Business System Staff,PT Adam Dani Lestari,Medan,Full time,Fresh graduate dengan portfolio/project yang baik dipersilakan melamar Pen,Tidak tersedia,Tidak tersedia,"PT Adam Dani Lestari sedang mencari IT & Business System Staff untuk membantu mengembangkan, memelihara, dan meningkatkan sistem digital internal perusahaan, termasuk sistem operasional, pelaporan, automasi, dan pengelolaan data. Posisi ini cocok untuk kandidat yang memiliki kemampuan teknis, nyaman menggunakan tools AI untuk membantu pekerjaan IT, serta bersedia memahami proses bisnis secara nyata. Tanggung Jawab : Mengembangkan dan memelihara aplikasi bisnis internal berbasis web Mendukung pengembangan database, laporan, dan dashboard Membantu automasi proses bisnis dan alur data Memelihara serta meningkatkan sistem operasional internal Memberikan dukungan kepada user dari berbagai departemen Melakukan testing, troubleshooting, dan dokumentasi perubahan sistem Menggunakan tools AI secara bertanggung jawab untuk mempercepat pengembangan dan pemecahan masalah Kualifikasi : Pendidikan minimal D3/S1 di bidang IT, Ilmu Komputer, Sistem Informasi, atau bidang terkait Fresh graduate dengan portfolio/project yang baik dipersilakan melamar Pengalaman 1–3 tahun lebih diutamakan Memiliki pemahaman dasar pengembangan aplikasi web Memahami konsep database Mampu bekerja dengan laporan, Excel, atau data bisnis Nyaman menggunakan tools AI seperti ChatGPT, Cursor, Codex, Claude Code, GitHub Copilot, atau tools sejenis Mampu berkomunikasi dengan user non-teknis Keahlian yang Diutamakan : JavaScript / TypeScript Node.js React / Next.js PostgreSQL atau database SQL lainnya Power BI Git / GitHub Dasar Docker Integrasi API Microsoft 365, SharePoint, atau Power Automate Pengetahuan mobile app development menjadi nilai tambah Karakter yang Dicari : Kami mencari kandidat yang : Jujur dan bertanggung jawab Teliti dan detail-oriented Bersedia mempelajari proses bisnis perusahaan Praktis dan berorientasi pada solusi Mampu mengikuti instruksi dan scope project Teliti dalam melakukan testing sebelum implementasi Nyaman bekerja dengan tools AI, tetapi tidak bergantung secara buta Ruang Lingkup ",Tidak tersedia,13 jam yang lalu,JobStreet
Data Quality,PT Reasuransi Maipark Indonesia,Jakarta Raya,Kontrak/Temporer,fresh graduate); Memiliki pengetahuan dasar- dasar Asuransi; Mampu menggun,Tidak tersedia,Tidak tersedia,"Deskripsi Pekerjaan: Melakukan proses pemeriksaan atas data compulsory cession (misalnya pemeriksaan alamat risiko, interest insured , dll); Membuat analisis pada data compulsory cession; Melakukan pemeriksaan atas akurasi dan kesesuaian data dengan SOP yang berlaku; Menyusun laporan secara lengkap, akurat, dan sesuai waktu yang ditentukan Kualifikasi: Strata 1 (S1), Jurusan Manajemen Asuransi/ Ekonomi/ Accounting; Pengalaman kerja min. 1 tahun (terbuka untuk fresh graduate); Memiliki pengetahuan dasar- dasar Asuransi; Mampu menggunakan Microsoft Office; Memiliki kemampuan Bahasa Inggris (tingkat dasar); Mampu bekerja dengan disiplin dan penuh ketelitian.",Tidak tersedia,14 jam yang lalu,JobStreet
HCIS and Data Analytics Supervisor,PT Amerta Indah Otsuka,Jakarta Raya,Full time,Tidak tersedia,Tidak tersedia,Tidak tersedia,"Bachelor's degree in Data Science, Statistics, Human Resources, Information Systems, or a related field
Minimum 3 years of experience in human capital data analytics or digital HR systems
Proficient in analytics platforms (Power BI, Tableau, Excel)
Knowledge of HCIS platforms and data integration
Certification in HR and Data Analyst would be a plus","HC Data Strategy, Analytics & Insights | Analyze HC data to support strategic decision-making.
Create and automate HC dashboards and reporting.
Manage employee survey data to generate insights and evaluations.
Support talent mapping and workforce planning through data analysis. | HRIS & Digitalization | Identify and develop automation processes to improve work efficiency.
Collaborate with IT teams and vendors in HCIS development.
Integrate HCIS with other systems such as payroll and ERP.
Evaluate and improve HC data management tools and processes.
Provide user training and system support.
Support HC digital transformation and system governance initiatives. | Data Management & Governance | Manage and ensure the accuracy of employee data in HCIS.
Support performance, payroll, and talent management data processes.
Compile and validate performance appraisal data.
Perform regular data cleansing and reconciliation.
Ensure data security and compliance with company policies. | Job Requirements | Bachelor's degree in Data Science, Statistics, Human Resources, Information Systems, or a related field
Minimum 3 years of experience in human capital data analytics or digital HR systems
Proficient in analytics platforms (Power BI, Tableau, Excel)
Knowledge of HCIS platforms and data integration
Certification in HR and Data Analyst would be a plus",14 jam yang lalu,JobStreet
IT Intern - Application Report and Dashboard Support,IDS Medical Systems Group,Jakarta Raya,Full time,"Fresh graduate in IT, Computer Science, Data Analytics, or related field A",Tidak tersedia,Tidak tersedia,"Job Description: Support daily application operations, including user access management for reports and dashboards in the SBA Portal Assist with access updates and requests aligned with system changes Support development of key reports such as GL Transaction and Inventory Movement Help improve and automate manual reporting processes Collaborate with internal teams to deliver data-driven insights Qualifications: Fresh graduate in IT, Computer Science, Data Analytics, or related field Available for a 6-months internship period Basic understanding of databases and SQL Familiar with Business Intelligence tools (e.g., Power BI is a plus) Good English communication skills Plus Points: Experience in data analysis, reporting, or dashboard development; exposure to relational databases (e.g., MySQL); experience creating reports or visualizations","Support daily application operations, including user access management for reports and dashboards in the SBA Portal
Assist with access updates and requests aligned with system changes
Support development of key reports such as
GL Transaction
and
Inventory Movement
Help improve and automate manual reporting processes
Collaborate with internal teams to deliver data-driven insights",15 jam yang lalu,JobStreet
Data Engineer,"PT Delta Giri Wacana, Tbk.",Jakarta Utara,Full time,Tidak tersedia,Tidak tersedia,Tidak tersedia,"REQUIREMENT : Pendidikan min. S1 Memiliki pengalaman min. 2 tahun sebagai Data Engineer Menguasai SQL dan database Memahami ETL/ELT dan data warehouse Menguasai Python menjadi nilai tambah Memiliki komunikasi yang baik, proaktif, dan dinamis Mampu bekerjasama dalam tim maupun individu Bersedia ditempatkan di Sunter, Jakarta Utara JOB DESCRIPTION : Mengembangkan dan memelihara data pipeline. Mengelola proses ETL/ELT dari berbagai sumber data. Mengembangkan, memelihara, dan mengelola database serta sistem data perusahaan. Mengolah dan menyajikan data dalam format yang terstruktur dan mudah digunakan. Mengembangkan serta menerapkan metode dan algoritma analitik untuk meningkatkan kualitas sistem data dan efisiensi proses bisnis. Berkolaborasi dengan tim terkait untuk memastikan kebutuhan data dan bisnis terpenuhi secara optimal.",Tidak tersedia,16 jam yang lalu,JobStreet
ADMIN DATA ANALIS,PT Indonesia Multi Colour Printing (PT IMCP),Krian,Full time,Tidak tersedia,Tidak tersedia,Tidak tersedia,"Diploma/Bachelor Degree Statistic / Data Analyst Excellent to operate computer Have good analytical thinking Expert to arrange and create data presentation from original data stock Placement : Krian, Sidoarjo",Tidak tersedia,16 jam yang lalu,JobStreet
I2P Business Process Analyst,"PT SMART,Tbk",Jakarta Raya,Full time,1-2 years of working experience in Finance or Ac,Tidak tersedia,Tidak tersedia,"Job Description Summary : Responsible for supporting system and business process change implementation by serving as a liaison between the project team and end users. This role involves conducting user communication and training sessions, developing SOPs and Standard Working Instructions (SWI), and gathering user feedback to ensure successful implementation and continuous process improvement. Job Description : Act as a liaison between end users and the project team to support system change communication and adoption initiatives. Conduct user socialization sessions, gather feedback, and provide training to system users. Support the implementation of new SOPs and working procedures in accordance with established standards. Collect user feedback and support continuous improvement efforts following system implementation. Develop and maintain Standard Working Instructions (SWI). Job Requirement : Candidate must possess at least a Bachelor's Degree in Finance/Accounting Have at least 1-2 years of working experience in Finance or Accounting Understanding of end-to-end payment processes, including Invoice and Payment Processing Strong understanding of business processes and the ability to create systematic and detailed workflow documentation. Experience in reviewing and developing Standard Working Instructions (SWI) and/or Standard Operating Procedures (SOP). Proficient in SAP Finance modules, including SAP ECC and/or SAP S/4HANA. Advanced proficiency in Microsoft Excel, including basic to intermediate formulas and tools such as VLOOKUP/HLOOKUP, Pivot Tables, SUMIF, Power Query, and data analysis functions. Experience in ERP implementation or migration projects is preferred, particularly SAP S/4HANA migration, rollout, or transformation initiatives. "" Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",Tidak tersedia,16 jam yang lalu,JobStreet
ADMIN DATABASE,PT. DINETA JAYAA,Denpasar Selatan,Full time,Tidak tersedia,Tidak tersedia,Rp 3.300.000 – Rp 3.800.000 per month,"Tugas & Tanggung Jawab: • Melakukan input, update, dan maintenance data perusahaan • Memastikan data yang diinput akurat dan sesuai standar perusahaan • Membuat laporan harian, mingguan, dan bulanan • Melakukan pengecekan serta validasi data • Mengolah dan menyajikan data sesuai kebutuhan manajemen • Mengarsipkan data dan dokumen secara sistematis • Berkoordinasi dengan departemen terkait untuk memastikan keakuratan data • Menjaga kerahasiaan data perusahaan",Tidak tersedia,17 jam yang lalu,JobStreet
